Year,Rank_Asia,School_Name,Overall,Academic Reputation,Employer Reputation ,Faculty Student,Papers per Faculty,Citations per Faculty ,International  Faculty,International Students,Faculty Staff with PhD,International Research Network,Inbound Exchange,Outbound Exchange,total students,international students,Total faculty staff,International Faculty staff,Domestic staff
2022,201,University of Electronic Science and Technology of China,25.6,11.9,6.4,16.1,91.9,39.9,29.3,11.4,1,68.4,1.2,69.4,33428,960,2032,54,1978
2022,202,Bangladesh University of Engineering and Technology,25.4,30.8,48,27.8,25.8,6,1.5,2.4,8,,,,6268,11,486,0.33,485.67
2022,202,Beijing University of Technology,25.4,19.3,14.6,61.2,43.1,22.9,22.6,13.7,34.5,17.1,11.3,23,23126,785,2411,120,2291
2022,204,Osaka Prefecture University,25.3,14.1,19.9,70.7,33.3,10.8,15.5,15.9,52.3,24.7,17.1,2.5,7710,299,865,31,834
2022,205,IISER Bhopal,25.2,6.5,3.7,45.2,65.8,82.2,3.4,1.2,100,4,1.6,1.6,,,,,
2022,205,Macau University of Science and Technology,25.2,11,7.7,5.6,25.1,93.3,100,100,15,21.6,6.1,10.2,10550,8869,486,389,97
2022,205,Nanjing Normal University,25.2,11.8,3.5,26.8,15.8,79.1,21.1,1.4,73.5,1.7,26.9,26.9,,,,,
2022,205,Universiti Pendidikan Sultan Idris (UPSI),25.2,23.3,18.4,27.1,7.6,1.9,44.9,42.1,65.1,5.8,95.7,78,9914,1017,762,69,693
2022,209,Diponegoro University,24.9,32.6,39.8,16.2,7.5,1,68.1,7.6,1,10.7,25,22.6,38567,741,2852,371,2481
2022,210,Duy Tan University,24.8,13.5,22.8,4.2,9.1,54.6,57.3,2,1,71.8,4.2,7,,,,,
2022,211,Niigata University,24.7,13.1,7.5,98,11.8,33,16.6,15,2.8,24.8,44.7,6.2,12375,457,1960,75,1885
2022,212,Nanjing University of Aeronautics and Astronautics,24.5,11.1,7.9,20.8,69.9,20.6,20.1,14.5,57.7,45.8,12.8,97.8,30178,1076,2129,96,2033
2022,213,Rikkyo University,24.4,10.5,23.8,11.7,3.8,78.9,71.9,27.9,1,26.5,28.5,19.1,21040,1318,1236,166,1070
2022,214,"University of Agriculture, Faisalabad",24.1,14.2,22.6,1.5,37.2,68.2,12.5,1.6,7.2,48.5,4,,27789,59,701,21,680
2022,215,North South University,24,24.1,61.9,4.5,4.2,3.1,44.7,9.7,2,5.5,5.2,15.2,12692,313,715,62,653
2022,216,Sungshin Women's University,23.9,14.6,16.9,94.8,1.9,11.3,10.5,17.3,5.8,2.6,48.1,85.3,,,,,
2022,217,Shinshu University,23.7,10.1,7.6,51.4,26.8,53.1,21.3,14.4,4.9,49.3,13.6,5.1,10910,387,1055,50,1005
2022,218,Amity University,23.5,14.6,18.9,24.6,16.7,2.9,7.8,60.6,9.4,59.9,11,99.6,30030,3639,2236,43,2193
2022,218,Harbin Engineering University,23.5,10.2,4,27.9,65.9,18.6,16.3,10.9,20.9,71.5,52.1,26,28545,783,1509,35,1474
2022,220,Alagappa Univeristy,23.4,5.8,3.5,64.9,31.8,52.1,1.4,97.8,18.2,2,1.8,1.8,,,,,
2022,220,Bina Nusantara University (BINUS),9.8,9.7,9.7,22.3,,1.5,4.8,4.5,,,,,14065,593,1124,96,1028
2022,220,Zhengzhou University,23.4,14.5,24.7,8,37.4,65.7,10.7,2.4,36.5,,,,,,,,
2022,223,Sookmyung Women's University,23.3,10.8,13.7,34.7,6.2,72.5,21.6,5.1,33.5,1.2,62.1,57.2,11026,137,921,44,877
2022,224,Donghua University,75.7,,,,,,,,,,,,,,,,
2022,224,Indian Institute of Technology Hyderabad,23,10.7,5.7,30.5,80.7,44.6,3.4,3.8,100,10.5,3,,3278,29,259,2,257
2022,226,Kyoto Institute of Technology,22.8,16.9,11.4,28.4,62,3,25.5,43.8,90,5.9,47.1,13.7,3970,361,310,17,293
2022,227,Universiti Malaysia Sabah (UMS),22.7,33.3,24.8,8.9,10.9,6.1,48,17.2,2,22.1,33.1,5.9,16975,705,913,84,829
2022,227,Universiti Malaysia Sarawak (UNIMAS),22.7,27.7,21,17.8,9.6,5.5,83.8,30,1.5,14.5,50.2,37.8,13308,885,894,145,749
2022,229,National Taiwan Ocean University,22.6,14.6,6.7,20,29.1,15.4,14.4,31.2,96.9,24.8,67.4,37.6,8036,551,560,19,541
2022,230,Central China Normal University,22.5,9.2,3.7,11.9,16.3,99.8,16.5,18.3,20.9,37,2.6,21.4,,,,,
2022,230,Yokohama City University,22.5,12.9,7.8,100,20.1,36.1,11.7,8.4,4.2,5.6,11.2,3.1,5087,108,889,25,864
2022,232,Anna University,22.4,17.6,26.6,6,62.7,17.4,5.2,21.7,43.2,1.2,,,15503,197,730,0,730
2022,232,Huazhong Agricultural University,22.4,10.2,3.9,11.2,37,70.6,14,6,54.1,42.3,1.4,9.1,,,,,
2022,232,Northwest University (China),22.4,10.6,2.7,72.7,20.5,57.8,12.6,19.8,3.8,23.7,1,18,21535,1009,2457,74,2383
2022,232,Tokushima University,22.4,14.2,3.9,86.1,28.5,7.1,9.3,10.8,40.7,29.5,9.5,4,7508,205,967,22,945
2022,236,China University of Petroleum¡ABeijing,22.3,11.6,3.1,10.5,92.9,32.9,21.3,91.9,14.5,60.2,13.5,,,,,,
2022,236,Fu Jen Catholic University,22.3,17.4,20.9,7.3,13.3,30,27.4,55,49.7,5.2,63,41,18589,2059,791,46,745
2022,236,Nanjing Tech University,22.3,8.1,2.7,16.1,36.5,97,6.2,5.9,3.3,46.3,1.9,11.8,,,,,
2022,239,Ashoka University,22.2,11,10.2,38,3.4,1.7,94.5,31.4,92.9,1.5,75.6,81.7,,,,,
2022,239,Feng Chia University,22.2,17.9,19.7,5.7,20.8,22.1,11.1,35.9,68.4,16.6,50.7,30.6,18509,1425,855,23,832
2022,239,Kangwon National University,22.2,11.6,12.5,22.9,22.4,34.7,16.1,10.9,78.1,38.2,3.1,3.2,21745,596,1582,59,1523
2022,239,Nanjing Medical University,22.2,7,2,59.9,36.9,79.6,6.9,22.2,10.5,15,6.1,8.2,,,,,
2022,239,Nanjing University of Information Science and Technology,22.2,5.5,1.6,15.4,28.6,73.2,15.2,14.2,56.1,55,2.3,2.3,,,,,
2022,239,Universitas Brawijaya,22.2,31.7,40.3,13.7,5.1,1,19,5.1,1,5.7,12.2,25,50461,633,3211,138,3073
2022,245,Ocean University of China,22.1,12.7,4,15.3,50.8,32,10.8,7.4,29.7,66.1,2.9,31.7,,,,,
2022,245,University of Karachi,22.1,24.8,29.8,1.5,12.8,7.3,12.6,1.8,1,59.3,,,43129,107,1063,32,1031
2022,247,Tokai University,21.9,26.8,19.8,23,9.6,7.6,21.5,14.1,1,43.6,4.7,4.5,28535,991,2079,99,1980
2022,247,Universiti Tun Hussein Onn Malaysia (UTHM),21.9,19.8,15.9,15.7,43,1.4,29.9,24.8,34.7,40.2,22.4,17.8,15498,879,872,57,815
2022,249,International Christian University,21.8,11.8,28.3,18.9,4.2,8,99.6,53.6,5.9,3.2,98.5,80.9,3233,362,221,62,159
2022,249,Kagoshima University,21.8,13.3,7.7,86.2,13.8,9.4,13.6,13.4,9.1,35.9,15.3,4,10326,343,1331,43,1288
